feature_a,label_a,feature_b,label_b,correlation,abs_correlation
rate_const_108,OH-A1PI,rate_const_198,O-3s 3S0,0.9999863917768091,0.9999863917768091
rate_const_089,H2 > H + H,rate_const_198,O-3s 3S0,0.9999853506886351,0.9999853506886351
rate_const_108,OH-A1PI,rate_const_116,OH-A3SIGMA,0.9999849484490593,0.9999849484490593
rate_const_089,H2 > H + H,rate_const_142,E + H2O > H + OH(A) + E,0.9999841448209164,0.9999841448209164
rate_const_089,H2 > H + H,rate_const_108,OH-A1PI,0.9999795065169397,0.9999795065169397
rate_const_109,OH-DISSOC,rate_const_006,AR3S > AR4P,0.999969766955242,0.999969766955242
rate_const_054,AR4P > AR^,rate_const_077,H*  > H^,0.9999682666878946,0.9999682666878946
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_089,H2 > H + H,0.999949989500369,0.999949989500369
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_154,E + H2OV > OH + H + E,0.9999459931510859,0.9999459931510859
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_135,E + H2O > OH + H + E,0.9999446850771441,0.9999446850771441
rate_const_135,E + H2O > OH + H + E,rate_const_108,OH-A1PI,0.9999430092826601,0.9999430092826601
rate_const_095,H2*  > H2^,rate_const_154,E + H2OV > OH + H + E,0.9999401651702744,0.9999401651702744
rate_const_089,H2 > H + H,rate_const_135,E + H2O > OH + H + E,0.9999379696208671,0.9999379696208671
rate_const_135,E + H2O > OH + H + E,rate_const_161,E + H2OV > H + OH(A) + E,0.9999353893335048,0.9999353893335048
rate_const_108,OH-A1PI,rate_const_069,H > H*,0.9999347356356025,0.9999347356356025
rate_const_088,H2 > H2(c 3 PI),rate_const_092,H2 > H + H,0.999931854309333,0.999931854309333
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_161,E + H2OV > H + OH(A) + E,0.9999317359114088,0.9999317359114088
rate_const_069,H > H*,rate_const_142,E + H2O > H + OH(A) + E,0.9999309539915238,0.9999309539915238
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_116,OH-A3SIGMA,0.9999309145007963,0.9999309145007963
rate_const_135,E + H2O > OH + H + E,rate_const_116,OH-A3SIGMA,0.9999291086700836,0.9999291086700836
rate_const_135,E + H2O > OH + H + E,rate_const_087,H2 > H2(b 3 SIGMA),0.9999222077149068,0.9999222077149068
rate_const_095,H2*  > H2^,rate_const_185,O2-ELECTRONIC 8.4EV,0.9999208690589226,0.9999208690589226
rate_const_013,AR3S > AR^,rate_const_090,H2 > H2+,0.9999189876348098,0.9999189876348098
rate_const_069,H > H*,rate_const_198,O-3s 3S0,0.9999160792205996,0.9999160792205996
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_087,H2 > H2(b 3 SIGMA),0.999911065981181,0.999911065981181
rate_const_069,H > H*,rate_const_092,H2 > H + H,0.999911064086071,0.999911064086071
rate_const_069,H > H*,rate_const_088,H2 > H2(c 3 PI),0.9999080664480803,0.9999080664480803
rate_const_069,H > H*,rate_const_087,H2 > H2(b 3 SIGMA),0.9999077511694944,0.9999077511694944
rate_const_135,E + H2O > OH + H + E,rate_const_142,E + H2O > H + OH(A) + E,0.9999048638494711,0.9999048638494711
rate_const_089,H2 > H + H,rate_const_154,E + H2OV > OH + H + E,0.9998993219406987,0.9998993219406987
rate_const_135,E + H2O > OH + H + E,rate_const_198,O-3s 3S0,0.9998979555214249,0.9998979555214249
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_108,OH-A1PI,0.9998908469071502,0.9998908469071502
rate_const_154,E + H2OV > OH + H + E,rate_const_108,OH-A1PI,0.9998901722376529,0.9998901722376529
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_198,O-3s 3S0,0.9998892772093882,0.9998892772093882
rate_const_154,E + H2OV > OH + H + E,rate_const_161,E + H2OV > H + OH(A) + E,0.9998889637373445,0.9998889637373445
rate_const_095,H2*  > H2^,rate_const_135,E + H2O > OH + H + E,0.9998887618221313,0.9998887618221313
rate_const_069,H > H*,rate_const_161,E + H2OV > H + OH(A) + E,0.9998876519222755,0.9998876519222755
rate_const_069,H > H*,rate_const_116,OH-A3SIGMA,0.9998850529574198,0.9998850529574198
rate_const_154,E + H2OV > OH + H + E,rate_const_116,OH-A3SIGMA,0.9998848819147614,0.9998848819147614
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_142,E + H2O > H + OH(A) + E,0.9998822492510946,0.9998822492510946
rate_const_013,AR3S > AR^,rate_const_012,AR3S > AR-RYD,0.9998776297721184,0.9998776297721184
rate_const_154,E + H2OV > OH + H + E,rate_const_087,H2 > H2(b 3 SIGMA),0.9998708055118384,0.9998708055118384
rate_const_089,H2 > H + H,rate_const_069,H > H*,0.9998591461088459,0.9998591461088459
rate_const_154,E + H2OV > OH + H + E,rate_const_142,E + H2O > H + OH(A) + E,0.9998437255909477,0.9998437255909477
rate_const_154,E + H2OV > OH + H + E,rate_const_198,O-3s 3S0,0.9998366648579906,0.9998366648579906
rate_const_095,H2*  > H2^,rate_const_184,O2-ELECTRONIC 6EV,0.9998238995000357,0.9998238995000357
rate_const_006,AR3S > AR4P,rate_const_125,OH-Ionization,0.9998105441327706,0.9998105441327706
rate_const_105,H3+ > H^ + H + H,rate_const_157,E + H2OV > OH^ + H + E,0.999800569889845,0.999800569889845
rate_const_095,H2*  > H2^,rate_const_115,OH-A3PI,0.9997939594191627,0.9997939594191627
rate_const_135,E + H2O > OH + H + E,rate_const_069,H > H*,0.9997932148738962,0.9997932148738962
rate_const_095,H2*  > H2^,rate_const_089,H2 > H + H,0.9997834205363444,0.9997834205363444
rate_const_088,H2 > H2(c 3 PI),rate_const_142,E + H2O > H + OH(A) + E,0.9997813807841105,0.9997813807841105
rate_const_013,AR3S > AR^,rate_const_105,H3+ > H^ + H + H,0.9997801257167075,0.9997801257167075
rate_const_108,OH-A1PI,rate_const_088,H2 > H2(c 3 PI),0.9997617560876104,0.9997617560876104
rate_const_088,H2 > H2(c 3 PI),rate_const_198,O-3s 3S0,0.999760843237242,0.999760843237242
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_088,H2 > H2(c 3 PI),0.9997551855907234,0.9997551855907234
rate_const_095,H2*  > H2^,rate_const_116,OH-A3SIGMA,0.9997549486551175,0.9997549486551175
rate_const_095,H2*  > H2^,rate_const_161,E + H2OV > H + OH(A) + E,0.9997493258305933,0.9997493258305933
rate_const_116,OH-A3SIGMA,rate_const_088,H2 > H2(c 3 PI),0.999736484067496,0.999736484067496
rate_const_095,H2*  > H2^,rate_const_087,H2 > H2(b 3 SIGMA),0.9997208773784712,0.9997208773784712
rate_const_088,H2 > H2(c 3 PI),rate_const_161,E + H2OV > H + OH(A) + E,0.9997168950294413,0.9997168950294413
rate_const_095,H2*  > H2^,rate_const_108,OH-A1PI,0.9997143314223635,0.9997143314223635
rate_const_154,E + H2OV > OH + H + E,rate_const_069,H > H*,0.9997025999333669,0.9997025999333669
rate_const_108,OH-A1PI,rate_const_092,H2 > H + H,0.9997006035873125,0.9997006035873125
rate_const_109,OH-DISSOC,rate_const_125,OH-Ionization,0.9996996075178417,0.9996996075178417
rate_const_092,H2 > H + H,rate_const_142,E + H2O > H + OH(A) + E,0.9996928552101776,0.9996928552101776
rate_const_089,H2 > H + H,rate_const_088,H2 > H2(c 3 PI),0.9996917759152726,0.9996917759152726
rate_const_095,H2*  > H2^,rate_const_142,E + H2O > H + OH(A) + E,0.9996683147700727,0.9996683147700727
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_069,H > H*,0.9996666656275865,0.9996666656275865
rate_const_095,H2*  > H2^,rate_const_198,O-3s 3S0,0.9996663759147943,0.9996663759147943
rate_const_092,H2 > H + H,rate_const_198,O-3s 3S0,0.999662768770203,0.999662768770203
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_092,H2 > H + H,0.9996503337701786,0.9996503337701786
rate_const_092,H2 > H + H,rate_const_109,OH-DISSOC,0.9996277073918591,0.9996277073918591
rate_const_116,OH-A3SIGMA,rate_const_092,H2 > H + H,0.9996127560275064,0.9996127560275064
rate_const_092,H2 > H + H,rate_const_161,E + H2OV > H + OH(A) + E,0.9996082112682575,0.9996082112682575
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_184,O2-ELECTRONIC 6EV,0.9995900071004127,0.9995900071004127
rate_const_089,H2 > H + H,rate_const_092,H2 > H + H,0.9995623323135273,0.9995623323135273
rate_const_154,E + H2OV > OH + H + E,rate_const_184,O2-ELECTRONIC 6EV,0.9995612641583789,0.9995612641583789
rate_const_135,E + H2O > OH + H + E,rate_const_088,H2 > H2(c 3 PI),0.9995531881580693,0.9995531881580693
rate_const_013,AR3S > AR^,rate_const_157,E + H2OV > OH^ + H + E,0.999534688912169,0.999534688912169
rate_const_115,OH-A3PI,rate_const_185,O2-ELECTRONIC 8.4EV,0.9995334831050273,0.9995334831050273
rate_const_115,OH-A3PI,rate_const_154,E + H2OV > OH + H + E,0.9995157513097972,0.9995157513097972
rate_const_135,E + H2O > OH + H + E,rate_const_092,H2 > H + H,0.9994852429510841,0.9994852429510841
rate_const_090,H2 > H2+,rate_const_105,H3+ > H^ + H + H,0.9994751636370501,0.9994751636370501
rate_const_092,H2 > H + H,rate_const_006,AR3S > AR4P,0.9994570518407921,0.9994570518407921
rate_const_065,AR+ IONIZATION,rate_const_139,E + H2O > O^ + 2H + 2E,0.9994549829527735,0.9994549829527735
rate_const_154,E + H2OV > OH + H + E,rate_const_088,H2 > H2(c 3 PI),0.999451452467487,0.999451452467487
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_088,H2 > H2(c 3 PI),0.999439756010789,0.999439756010789
rate_const_088,H2 > H2(c 3 PI),rate_const_109,OH-DISSOC,0.9994388774080887,0.9994388774080887
rate_const_135,E + H2O > OH + H + E,rate_const_184,O2-ELECTRONIC 6EV,0.9994350105491469,0.9994350105491469
rate_const_095,H2*  > H2^,rate_const_069,H > H*,0.9994240808511775,0.9994240808511775
rate_const_105,H3+ > H^ + H + H,rate_const_012,AR3S > AR-RYD,0.9993846190842407,0.9993846190842407
rate_const_115,OH-A3PI,rate_const_135,E + H2O > OH + H + E,0.9993809312412985,0.9993809312412985
rate_const_154,E + H2OV > OH + H + E,rate_const_092,H2 > H + H,0.9993628484616532,0.9993628484616532
rate_const_101,H3+ > H+ + H,rate_const_125,OH-Ionization,0.9993086808685772,0.9993086808685772
rate_const_089,H2 > H + H,rate_const_184,O2-ELECTRONIC 6EV,0.999282760282861,0.999282760282861
rate_const_088,H2 > H2(c 3 PI),rate_const_006,AR3S > AR4P,0.9992782439598518,0.9992782439598518
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_092,H2 > H + H,0.9992634684252201,0.9992634684252201
rate_const_184,O2-ELECTRONIC 6EV,rate_const_116,OH-A3SIGMA,0.9992272291852691,0.9992272291852691
rate_const_115,OH-A3PI,rate_const_089,H2 > H + H,0.9992116853450491,0.9992116853450491
rate_const_184,O2-ELECTRONIC 6EV,rate_const_161,E + H2OV > H + OH(A) + E,0.999209629715601,0.999209629715601
rate_const_069,H > H*,rate_const_109,OH-DISSOC,0.9991767168310449,0.9991767168310449
rate_const_095,H2*  > H2^,rate_const_088,H2 > H2(c 3 PI),0.9991746353567929,0.9991746353567929
rate_const_184,O2-ELECTRONIC 6EV,rate_const_087,H2 > H2(b 3 SIGMA),0.9991588154250798,0.9991588154250798
rate_const_115,OH-A3PI,rate_const_116,OH-A3SIGMA,0.9991547943498005,0.9991547943498005
rate_const_115,OH-A3PI,rate_const_161,E + H2OV > H + OH(A) + E,0.999135597547351,0.999135597547351
rate_const_184,O2-ELECTRONIC 6EV,rate_const_108,OH-A1PI,0.9991153155790924,0.9991153155790924
rate_const_090,H2 > H2+,rate_const_157,E + H2OV > OH^ + H + E,0.9990977581353587,0.9990977581353587
rate_const_115,OH-A3PI,rate_const_087,H2 > H2(b 3 SIGMA),0.999083643013923,0.999083643013923
rate_const_184,O2-ELECTRONIC 6EV,rate_const_198,O-3s 3S0,0.9990717349942406,0.9990717349942406
rate_const_184,O2-ELECTRONIC 6EV,rate_const_142,E + H2O > H + OH(A) + E,0.9990636555627068,0.9990636555627068
rate_const_115,OH-A3PI,rate_const_108,OH-A1PI,0.99904167239226,0.99904167239226
rate_const_157,E + H2OV > OH^ + H + E,rate_const_012,AR3S > AR-RYD,0.9990186785423,0.9990186785423
rate_const_115,OH-A3PI,rate_const_198,O-3s 3S0,0.9989908888782747,0.9989908888782747
rate_const_095,H2*  > H2^,rate_const_092,H2 > H + H,0.9989867358965581,0.9989867358965581
rate_const_115,OH-A3PI,rate_const_142,E + H2O > H + OH(A) + E,0.9989843184317769,0.9989843184317769
rate_const_069,H > H*,rate_const_006,AR3S > AR4P,0.9989348469233519,0.9989348469233519
rate_const_092,H2 > H + H,rate_const_125,OH-Ionization,0.9987470893997648,0.9987470893997648
rate_const_108,OH-A1PI,rate_const_109,OH-DISSOC,0.9986722167765396,0.9986722167765396
rate_const_142,E + H2O > H + OH(A) + E,rate_const_109,OH-DISSOC,0.9986576063858573,0.9986576063858573
rate_const_184,O2-ELECTRONIC 6EV,rate_const_069,H > H*,0.9986387048746376,0.9986387048746376
rate_const_198,O-3s 3S0,rate_const_109,OH-DISSOC,0.9985980858959587,0.9985980858959587
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_109,OH-DISSOC,0.9985750750927606,0.9985750750927606
rate_const_101,H3+ > H+ + H,rate_const_006,AR3S > AR4P,0.9985584904551817,0.9985584904551817
rate_const_115,OH-A3PI,rate_const_069,H > H*,0.9985540540401026,0.9985540540401026
rate_const_116,OH-A3SIGMA,rate_const_109,OH-DISSOC,0.998510680466258,0.998510680466258
rate_const_161,E + H2OV > H + OH(A) + E,rate_const_109,OH-DISSOC,0.9984903723539288,0.9984903723539288
rate_const_089,H2 > H + H,rate_const_109,OH-DISSOC,0.9984098169115979,0.9984098169115979
rate_const_088,H2 > H2(c 3 PI),rate_const_125,OH-Ionization,0.9984086528226794,0.9984086528226794
rate_const_108,OH-A1PI,rate_const_006,AR3S > AR4P,0.998379722921489,0.998379722921489
rate_const_142,E + H2O > H + OH(A) + E,rate_const_006,AR3S > AR4P,0.9983707379124053,0.9983707379124053
rate_const_184,O2-ELECTRONIC 6EV,rate_const_088,H2 > H2(c 3 PI),0.9983626152513989,0.9983626152513989
rate_const_135,E + H2O > OH + H + E,rate_const_109,OH-DISSOC,0.9983119205922673,0.9983119205922673
rate_const_198,O-3s 3S0,rate_const_006,AR3S > AR4P,0.9983029848771197,0.9983029848771197
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_006,AR3S > AR4P,0.9982880447474669,0.9982880447474669
rate_const_115,OH-A3PI,rate_const_088,H2 > H2(c 3 PI),0.9982773077314278,0.9982773077314278
rate_const_101,H3+ > H+ + H,rate_const_109,OH-DISSOC,0.9982768339980785,0.9982768339980785
rate_const_116,OH-A3SIGMA,rate_const_006,AR3S > AR4P,0.9982197540556929,0.9982197540556929
rate_const_161,E + H2OV > H + OH(A) + E,rate_const_006,AR3S > AR4P,0.9981891682732388,0.9981891682732388
rate_const_154,E + H2OV > OH + H + E,rate_const_109,OH-DISSOC,0.9981275284285892,0.9981275284285892
rate_const_089,H2 > H + H,rate_const_006,AR3S > AR4P,0.9981086014331978,0.9981086014331978
rate_const_184,O2-ELECTRONIC 6EV,rate_const_092,H2 > H + H,0.9980199532021033,0.9980199532021033
rate_const_069,H > H*,rate_const_125,OH-Ionization,0.9980038474910706,0.9980038474910706
rate_const_135,E + H2O > OH + H + E,rate_const_006,AR3S > AR4P,0.9979805268922405,0.9979805268922405
rate_const_115,OH-A3PI,rate_const_092,H2 > H + H,0.9979301056208041,0.9979301056208041
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_109,OH-DISSOC,0.9979020315386624,0.9979020315386624
rate_const_154,E + H2OV > OH + H + E,rate_const_006,AR3S > AR4P,0.9977874610795476,0.9977874610795476
rate_const_095,H2*  > H2^,rate_const_109,OH-DISSOC,0.9975594052651526,0.9975594052651526
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_006,AR3S > AR4P,0.9975556587865805,0.9975556587865805
rate_const_108,OH-A1PI,rate_const_125,OH-Ionization,0.9972603596862399,0.9972603596862399
rate_const_142,E + H2O > H + OH(A) + E,rate_const_125,OH-Ionization,0.9972289462518803,0.9972289462518803
rate_const_095,H2*  > H2^,rate_const_006,AR3S > AR4P,0.9972068571856952,0.9972068571856952
rate_const_198,O-3s 3S0,rate_const_125,OH-Ionization,0.997139626445069,0.997139626445069
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_125,OH-Ionization,0.9971175027219626,0.9971175027219626
rate_const_116,OH-A3SIGMA,rate_const_125,OH-Ionization,0.9970173692185841,0.9970173692185841
rate_const_161,E + H2OV > H + OH(A) + E,rate_const_125,OH-Ionization,0.9969925122667311,0.9969925122667311
rate_const_089,H2 > H + H,rate_const_125,OH-Ionization,0.9968814402465107,0.9968814402465107
rate_const_135,E + H2O > OH + H + E,rate_const_125,OH-Ionization,0.9967826151600461,0.9967826151600461
rate_const_101,H3+ > H+ + H,rate_const_092,H2 > H + H,0.9967375646967594,0.9967375646967594
rate_const_154,E + H2OV > OH + H + E,rate_const_125,OH-Ionization,0.9965441569424605,0.9965441569424605
rate_const_101,H3+ > H+ + H,rate_const_088,H2 > H2(c 3 PI),0.9962660381386064,0.9962660381386064
rate_const_184,O2-ELECTRONIC 6EV,rate_const_109,OH-DISSOC,0.9962366096463428,0.9962366096463428
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_125,OH-Ionization,0.996190451037467,0.996190451037467
rate_const_115,OH-A3PI,rate_const_109,OH-DISSOC,0.9961371308867448,0.9961371308867448
rate_const_184,O2-ELECTRONIC 6EV,rate_const_006,AR3S > AR4P,0.995844674020285,0.995844674020285
rate_const_095,H2*  > H2^,rate_const_125,OH-Ionization,0.9958007609029977,0.9958007609029977
rate_const_115,OH-A3PI,rate_const_006,AR3S > AR4P,0.9957453936636423,0.9957453936636423
rate_const_069,H > H*,rate_const_101,H3+ > H+ + H,0.9956952856998885,0.9956952856998885
rate_const_101,H3+ > H+ + H,rate_const_142,E + H2O > H + OH(A) + E,0.9946630356359049,0.9946630356359049
rate_const_108,OH-A1PI,rate_const_101,H3+ > H+ + H,0.9946619422307912,0.9946619422307912
rate_const_101,H3+ > H+ + H,rate_const_198,O-3s 3S0,0.9945606108883449,0.9945606108883449
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_101,H3+ > H+ + H,0.9945030081822686,0.9945030081822686
rate_const_116,OH-A3SIGMA,rate_const_101,H3+ > H+ + H,0.9943452274316724,0.9943452274316724
rate_const_101,H3+ > H+ + H,rate_const_161,E + H2OV > H + OH(A) + E,0.9943299905819929,0.9943299905819929
rate_const_089,H2 > H + H,rate_const_101,H3+ > H+ + H,0.9941780697385466,0.9941780697385466
rate_const_184,O2-ELECTRONIC 6EV,rate_const_125,OH-Ionization,0.9941562949881231,0.9941562949881231
rate_const_115,OH-A3PI,rate_const_125,OH-Ionization,0.9940488139977074,0.9940488139977074
rate_const_135,E + H2O > OH + H + E,rate_const_101,H3+ > H+ + H,0.993941998290111,0.993941998290111
rate_const_154,E + H2OV > OH + H + E,rate_const_101,H3+ > H+ + H,0.9936013353281735,0.9936013353281735
rate_const_185,O2-ELECTRONIC 8.4EV,rate_const_101,H3+ > H+ + H,0.9932300388543385,0.9932300388543385
rate_const_095,H2*  > H2^,rate_const_101,H3+ > H+ + H,0.9926202657026864,0.9926202657026864
rate_const_184,O2-ELECTRONIC 6EV,rate_const_101,H3+ > H+ + H,0.9905401497093278,0.9905401497093278
rate_const_115,OH-A3PI,rate_const_101,H3+ > H+ + H,0.9903953493143334,0.9903953493143334
rate_const_101,H3+ > H+ + H,rate_const_012,AR3S > AR-RYD,0.939914360844423,0.939914360844423
rate_const_090,H2 > H2+,rate_const_101,H3+ > H+ + H,0.939893284944029,0.939893284944029
rate_const_013,AR3S > AR^,rate_const_101,H3+ > H+ + H,0.9397393809754568,0.9397393809754568
rate_const_101,H3+ > H+ + H,rate_const_105,H3+ > H^ + H + H,0.9392562035213137,0.9392562035213137
rate_const_101,H3+ > H+ + H,rate_const_157,E + H2OV > OH^ + H + E,0.9388102442432353,0.9388102442432353
rate_const_012,AR3S > AR-RYD,rate_const_125,OH-Ionization,0.9333357462863502,0.9333357462863502
rate_const_090,H2 > H2+,rate_const_125,OH-Ionization,0.933277922925405,0.933277922925405
rate_const_013,AR3S > AR^,rate_const_125,OH-Ionization,0.9328786060306904,0.9328786060306904
rate_const_105,H3+ > H^ + H + H,rate_const_125,OH-Ionization,0.9320233154498666,0.9320233154498666
rate_const_157,E + H2OV > OH^ + H + E,rate_const_125,OH-Ionization,0.9314531586623407,0.9314531586623407
rate_const_006,AR3S > AR4P,rate_const_012,AR3S > AR-RYD,0.931351819829389,0.931351819829389
rate_const_090,H2 > H2+,rate_const_006,AR3S > AR4P,0.9312973779122331,0.9312973779122331
rate_const_109,OH-DISSOC,rate_const_012,AR3S > AR-RYD,0.9311355316328027,0.9311355316328027
rate_const_090,H2 > H2+,rate_const_109,OH-DISSOC,0.9310846778795987,0.9310846778795987
rate_const_013,AR3S > AR^,rate_const_006,AR3S > AR4P,0.9307354878621006,0.9307354878621006
rate_const_013,AR3S > AR^,rate_const_109,OH-DISSOC,0.9304884864876656,0.9304884864876656
rate_const_105,H3+ > H^ + H + H,rate_const_006,AR3S > AR4P,0.929706126256017,0.929706126256017
rate_const_105,H3+ > H^ + H + H,rate_const_109,OH-DISSOC,0.929384981019066,0.929384981019066
rate_const_157,E + H2OV > OH^ + H + E,rate_const_006,AR3S > AR4P,0.9288651480566333,0.9288651480566333
rate_const_092,H2 > H + H,rate_const_012,AR3S > AR-RYD,0.9288220572954693,0.9288220572954693
rate_const_090,H2 > H2+,rate_const_092,H2 > H + H,0.9288123301305399,0.9288123301305399
rate_const_157,E + H2OV > OH^ + H + E,rate_const_109,OH-DISSOC,0.9285402977775713,0.9285402977775713
rate_const_013,AR3S > AR^,rate_const_092,H2 > H + H,0.9280691388742188,0.9280691388742188
rate_const_088,H2 > H2(c 3 PI),rate_const_012,AR3S > AR-RYD,0.9274713049115907,0.9274713049115907
rate_const_090,H2 > H2+,rate_const_088,H2 > H2(c 3 PI),0.9274561898806164,0.9274561898806164
rate_const_090,H2 > H2+,rate_const_069,H > H*,0.9273023598756465,0.9273023598756465
rate_const_069,H > H*,rate_const_012,AR3S > AR-RYD,0.9272946820141454,0.9272946820141454
rate_const_105,H3+ > H^ + H + H,rate_const_092,H2 > H + H,0.926778653035151,0.926778653035151
rate_const_013,AR3S > AR^,rate_const_088,H2 > H2(c 3 PI),0.9266219484291556,0.9266219484291556
rate_const_013,AR3S > AR^,rate_const_069,H > H*,0.9264783502365971,0.9264783502365971
rate_const_090,H2 > H2+,rate_const_198,O-3s 3S0,0.9257968568221766,0.9257968568221766
rate_const_198,O-3s 3S0,rate_const_012,AR3S > AR-RYD,0.9257774964032353,0.9257774964032353
rate_const_090,H2 > H2+,rate_const_142,E + H2O > H + OH(A) + E,0.9256719293882553,0.9256719293882553
rate_const_142,E + H2O > H + OH(A) + E,rate_const_012,AR3S > AR-RYD,0.9256531664881626,0.9256531664881626
rate_const_092,H2 > H + H,rate_const_157,E + H2OV > OH^ + H + E,0.9256292774882108,0.9256292774882108
rate_const_105,H3+ > H^ + H + H,rate_const_088,H2 > H2(c 3 PI),0.9252814681843041,0.9252814681843041
rate_const_069,H > H*,rate_const_105,H3+ > H^ + H + H,0.9250877235777524,0.9250877235777524
rate_const_090,H2 > H2+,rate_const_087,H2 > H2(b 3 SIGMA),0.9249063603074286,0.9249063603074286
rate_const_087,H2 > H2(b 3 SIGMA),rate_const_012,AR3S > AR-RYD,0.9248847677840516,0.9248847677840516
rate_const_013,AR3S > AR^,rate_const_198,O-3s 3S0,0.9248737154298647,0.9248737154298647
rate_const_090,H2 > H2+,rate_const_108,OH-A1PI,0.924823140494227,0.924823140494227
rate_const_108,OH-A1PI,rate_const_012,AR3S > AR-RYD,0.9248020436747777,0.9248020436747777
rate_const_013,AR3S > AR^,rate_const_142,E + H2O > H + OH(A) + E,0.9247622208868079,0.9247622208868079
rate_const_090,H2 > H2+,rate_const_161,E + H2OV > H + OH(A) + E,0.9245668867985374,0.9245668867985374
rate_const_161,E + H2OV > H + OH(A) + E,rate_const_012,AR3S > AR-RYD,0.9245444354651825,0.9245444354651825
rate_const_090,H2 > H2+,rate_const_116,OH-A3SIGMA,0.9242926068098173,0.9242926068098173
rate_const_116,OH-A3SIGMA,rate_const_012,AR3S > AR-RYD,0.9242730722389648,0.9242730722389648
rate_const_013,AR3S > AR^,rate_const_087,H2 > H2(b 3 SIGMA),0.9239911947864767,0.9239911947864767
rate_const_090,H2 > H2+,rate_const_089,H2 > H + H,0.9239631258887469,0.9239631258887469
rate_const_089,H2 > H + H,rate_const_012,AR3S > AR-RYD,0.9239392628039401,0.9239392628039401
rate_const_013,AR3S > AR^,rate_const_108,OH-A1PI,0.9239352704740325,0.9239352704740325
rate_const_088,H2 > H2(c 3 PI),rate_const_157,E + H2OV > OH^ + H + E,0.9239273137136933,0.9239273137136933
rate_const_069,H > H*,rate_const_157,E + H2OV > OH^ + H + E,0.9237820842753233,0.9237820842753233
rate_const_013,AR3S > AR^,rate_const_161,E + H2OV > H + OH(A) + E,0.9236394932565261,0.9236394932565261
