species_id,species_label,count,min,max,mean,median,std,p01,p05,p25,p50,p75,p95,p99,sum,zero_count,nonzero_count,positive_count,negative_count,unique_count
24,H2O,609.0,0.01987,0.02,0.01993904761904762,0.01994,3.7404451212677366e-05,0.01987,0.01988,0.01991,0.01994,0.01997,0.02,0.02,12.14288,0.0,609.0,609.0,0.0,14.0
25,H2OV,609.0,0.0,4.602e-05,2.2496857142857145e-05,2.149e-05,1.4865259753903409e-05,0.0,1.357e-06,1.079e-05,2.149e-05,3.592e-05,4.475e-05,4.602e-05,0.013700586,29.0,580.0,580.0,0.0,21.0
26,H2O^,609.0,4.089e-14,1.566e-08,1.0565954328095238e-08,1.14e-08,3.921555503273739e-09,4.089e-14,2.251e-09,1.094e-08,1.14e-08,1.188e-08,1.493e-08,1.566e-08,6.43466618581e-06,0.0,609.0,609.0,0.0,21.0
27,HO2,609.0,0.0,7.878e-09,3.192775603857143e-09,1.893e-11,3.36961324659574e-09,0.0,2.061e-15,7.435e-13,1.893e-11,6.407e-09,7.5e-09,7.878e-09,1.944400342749e-06,29.0,580.0,580.0,0.0,21.0
28,H2O2,609.0,0.0,1.244e-05,5.916399371428571e-06,4.614e-08,6.192375410707942e-06,0.0,1.78e-11,4.885e-09,4.614e-08,1.24e-05,1.243e-05,1.244e-05,0.0036030872171999998,29.0,580.0,580.0,0.0,16.0
29,H3O^,609.0,0.0,8.778e-07,5.043861904761905e-07,5.189e-07,2.791397010284446e-07,0.0,6.262e-08,3.129e-07,5.189e-07,7.642e-07,8.681e-07,8.778e-07,0.00030717119,29.0,580.0,580.0,0.0,21.0
30,O2,609.0,0.0,6.296e-07,2.995573956226476e-07,9.28e-11,3.141589470490529e-07,0.0,1.156e-16,2.628e-12,9.28e-11,6.289e-07,6.295e-07,6.296e-07,0.0001824304539341924,29.0,580.0,580.0,0.0,19.0
31,O2^,609.0,0.0,1.097e-11,3.399759721904762e-12,3.08e-14,4.233622594771528e-12,0.0,3.82e-18,2.907e-15,3.08e-14,7.232e-12,1.086e-11,1.097e-11,2.07045367064e-09,29.0,580.0,580.0,0.0,21.0
32,O2-,609.0,0.0,8.208e-12,2.2273132310912255e-12,3.185e-16,2.6787699052745582e-12,0.0,1.033e-24,2.069e-18,3.185e-16,3.857e-12,7.194e-12,8.208e-12,1.3564337577345562e-09,29.0,580.0,580.0,0.0,21.0
33,O,609.0,0.0,4.932e-07,2.168665723809524e-07,1.027e-07,1.9856662211863354e-07,0.0,8.822e-11,1.555e-08,1.027e-07,4.037e-07,4.697e-07,4.932e-07,0.00013207174258,29.0,580.0,580.0,0.0,21.0
34,O^,609.0,0.0,2.12e-14,8.692095714285714e-15,2.421e-15,9.099945845390704e-15,0.0,3.895e-17,3.415e-16,2.421e-15,1.852e-14,2.016e-14,2.12e-14,5.29348629e-12,29.0,580.0,580.0,0.0,21.0
35,O-,609.0,0.0,1.038e-07,5.3092095238095234e-08,5.193e-08,3.4015378268554276e-08,0.0,3.475e-09,2.663e-08,5.193e-08,8.467e-08,1.022e-07,1.038e-07,3.2333086e-05,29.0,580.0,580.0,0.0,21.0
36,HV_096,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
37,HV_106,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
38,HV_126,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
39,ONE,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
40,TE,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
41,TGAS,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
42,EB,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
43,POS,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
44,POSITION,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
45,SPEED,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
46,EDEP,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
47,PDEP,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
48,M,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
49,MIS,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,0.0,0.0,1.0
